latitude,longitude,depth,mag,time
19.3020000457764,-155.214492797852,7.51999998092651,2.11,1671753325900
17.9678333333333,-66.8565,18.14,2.23,1671752864770
51.8635,-177.966,-1.8,0.88,1671752703090
52.3544,-169.8,35,3.3,1671752504444
63.0327,-150.676,101.4,1.4,1671751590708
39.1691667,-110.6451667,14.6,1.04,1671750648200
37.1353,-116.2977,8.4,1.1,1671749791119
38.7978325,-122.7545013,3.84,1.05,1671749783280
18.0745,-67.1265,18.64,2.01,1671749621170
19.1618328094482,-155.496673583984,34.0499992370605,2.20000005,1671749389590
51.8395,-178.035166666667,-1.21,1.5,1671749310530
64.7638,-147.8582,18.7,1.1,1671749247944
38.8428345,-122.87883,2.25,0.29,1671748820290
39.5415,-120.3826,0,0,1671748729228
34.4258333,-117.7241667,5.61,0.99,1671748698200
64.8337,-147.4749,15.5,0.7,1671748437082
60.5333,-152.8577,122.4,1.9,1671748391325
38.7981667,-122.811,3.46,0.12,1671748294860
51.843,-178.037666666667,-1.72,1.02,1671747806700
62.1141,-151.3671,76.6,1.2,1671747734348
19.2116661071777,-155.388671875,29.8999996185303,2.1099999,1671747660720
-23.6454,-66.747,181.848,4.4,1671747426704
49.42816666666667,-120.484,-0.37,2.27,1671747361630
19.3986663818359,-155.278503417969,1.96000003814697,2.17000008,1671747336120
38.8326683,-122.8190002,1.54,0.75,1671746857120
62.1722,-150.4588,20.1,1.2,1671746272600
33.2751667,-115.9675,5.37,1.93,1671745794970
37.4723333,-118.7773333,10.97,1.17,1671745663210
38.8395004,-122.82267,1.65,0.75,1671745226620
38.8334999,-122.8098297,1.72,0.7,1671744996160
61.418,-152.076333333333,10.17,0.14,1671744826030
36.702,-116.3321,8.2,-0.3,1671744605833
38.7841682,-122.7798309,3.11,1.18,1671744560020
44.8053333,-110.9613333,7.92,1.11,1671744121020
36.5855,-121.4176667,1.62,1.17,1671743966800
59.7357,-151.9655,56,3.2,1671743814414
55.4605,-165.387,145.6,2.9,1671743518604
61.6096,-146.3117,29,1.5,1671743162025
18.0308333333333,-66.7836666666667,15.06,2.72,1671743154040
